A1,Q1,A2,Q2,A3,A4,Q3,Mid,AWS Labs,Q4,A5,Q5,A6,Final,Total
1.0,1.0,1.0,0.8999999999999999,0.0,4.0,0.5487804878048781,20.125,2.7,0.5,0.0,0.25,0.0,24.0,54.0
1.0,1.0357142857142856,1.0,0.0,0.95,4.0,1.024390243902439,28.4375,2.7,1.09375,3.8,0.0,3.8,34.90909090909091,84.0
1.0,0.0,0.0,0.0,0.55,0.0,0.0,22.75,1.5,0.0,0.0,0.0,0.0,30.909090909090907,59.0
1.0,0.0,0.0,0.5,0.9,4.0,1.024390243902439,28.0,1.5,0.75,3.6,0.0,4.0,35.27272727272727,81.0
1.0,1.0714285714285714,1.0,1.25,0.0,4.0,0.7317073170731707,28.4375,3.0,0.6875,0.0,0.0,0.0,24.727272727272727,63.0
1.0,0.0,1.0,1.3,0.6,4.0,0.8414634146341464,24.9375,3.0,0.71875,4.0,0.75,4.0,27.636363636363637,73.0
0.8,0.9642857142857144,0.0,1.2000000000000002,0.2,4.0,0.0,28.0,2.0999999999999996,0.5,3.2,0.0,0.0,24.727272727272727,64.0
0.9,0.8571428571428571,1.0,0.0,0.5,4.0,0.8048780487804879,24.0625,3.0,0.71875,3.2,0.125,2.6,28.727272727272727,69.0
1.0,1.0714285714285714,1.0,1.5,1.0,4.0,1.024390243902439,31.5,3.0,1.15625,4.0,1.0625,4.0,34.90909090909091,91.0
1.0,0.4642857142857143,1.0,1.1500000000000001,0.0,4.0,0.5121951219512195,24.0625,3.0,0.46875,3.4,0.0,0.8,22.90909090909091,60.0
1.0,0.0,1.0,1.2000000000000002,0.5,4.0,0.7682926829268293,23.1875,3.0,0.0,2.8,0.375,2.6,24.727272727272727,64.0
0.9,1.1071428571428572,0.0,1.0999999999999999,0.5,4.0,0.7682926829268293,25.375,3.0,0.0,3.6,0.4375,0.0,25.81818181818182,66.0
1.0,0.6428571428571428,0.0,0.6000000000000001,0.85,4.0,0.0,24.5,1.7999999999999998,0.4375,3.4,0.0,4.0,25.454545454545453,67.0
1.0,1.2142857142857144,1.0,0.0,0.0,4.0,0.0,28.0,3.0,1.0625,3.2,0.0,0.0,22.90909090909091,63.0
1.0,1.0,1.0,1.0,0.0,4.0,0.6585365853658537,22.3125,3.0,0.65625,0.8,0.4375,0.0,24.0,56.99999999999999
0.6,0.0,1.0,1.0,0.0,0.0,0.7682926829268293,24.5,0.8999999999999999,0.0,0.0,0.25,0.0,24.0,54.0
0.9,0.0,1.0,0.5499999999999999,0.0,4.0,0.6219512195121951,24.5,2.7,0.0,3.2,0.375,2.4,23.636363636363637,61.0
1.0,1.0714285714285714,1.0,1.4,0.4,4.0,0.5121951219512195,25.375,3.0,0.75,2.8,0.0,1.6,22.90909090909091,65.0
1.0,0.9642857142857144,1.0,0.0,0.35,4.0,1.0975609756097562,21.875,2.7,0.0,3.6,0.0,0.0,23.636363636363637,59.0
0.4,1.0357142857142856,1.0,0.85,0.65,4.0,0.47560975609756095,23.625,2.7,0.34375,2.8,0.0,4.0,25.81818181818182,67.0
1.0,0.9642857142857144,1.0,1.1500000000000001,0.0,4.0,0.6585365853658537,20.5625,1.7999999999999998,0.53125,2.4,0.0,0.0,20.727272727272727,52.0
0.0,0.6428571428571428,1.0,0.0,0.0,4.0,0.0,24.5,2.0999999999999996,0.625,0.0,0.0,0.0,25.454545454545453,56.00000000000001
1.0,1.1428571428571428,1.0,1.3,0.6,4.0,1.024390243902439,28.4375,3.0,0.625,3.8,0.5,4.0,28.363636363636363,78.0
1.0,0.9642857142857144,0.0,0.95,0.5,4.0,0.7682926829268293,26.6875,1.5,0.375,2.6,1.0,2.6,29.090909090909093,71.0
1.0,1.3571428571428572,1.0,0.0,0.5,4.0,0.47560975609756095,25.8125,3.0,0.9375,0.0,1.0,0.0,30.909090909090907,69.0
1.0,0.0,1.0,1.0,0.5,4.0,0.8780487804878048,22.3125,3.0,0.5625,3.4,0.3125,0.0,25.81818181818182,63.0
1.0,1.1428571428571428,1.0,1.45,0.7,4.0,0.9146341463414633,28.875,3.0,0.75,3.6,0.75,2.6,28.727272727272727,78.0
1.0,0.7857142857142858,1.0,0.85,0.0,4.0,0.7682926829268293,24.0625,3.0,0.625,1.2,0.0,0.0,24.363636363636367,59.0
1.0,1.0714285714285714,1.0,1.2000000000000002,0.6,4.0,0.9146341463414633,24.0625,3.0,0.6875,3.4,0.5625,4.0,23.272727272727273,68.0
1.0,1.0357142857142856,0.0,1.4,0.5,4.0,0.7317073170731707,25.375,3.0,0.71875,3.4,0.3125,2.4,29.090909090909093,72.0
1.0,0.0,0.0,1.0999999999999999,0.0,4.0,0.6585365853658537,17.5,3.0,0.28125,0.0,0.0,2.6,21.09090909090909,49.0
1.0,1.1071428571428572,1.0,1.25,0.85,4.0,0.9878048780487805,25.375,3.0,1.125,4.0,0.75,4.0,32.0,80.0
1.0,1.1428571428571428,1.0,1.0,0.95,4.0,0.9878048780487805,29.3125,2.7,0.96875,3.8,0.0,4.0,30.18181818181818,81.0
1.0,1.0,1.0,1.25,1.0,4.0,0.9146341463414633,29.3125,2.4000000000000004,1.15625,3.6,1.0,4.0,30.545454545454547,83.0
1.0,1.0357142857142856,1.0,0.4,0.0,4.0,0.5121951219512195,20.5625,1.7999999999999998,0.5,2.0,0.0,0.0,21.454545454545453,52.0
1.0,1.2857142857142856,0.0,1.0499999999999998,1.0,4.0,0.9146341463414633,26.6875,1.7999999999999998,0.0,3.8,0.25,2.8,31.636363636363637,77.0
1.0,0.0,1.0,1.0,0.0,4.0,1.207317073170732,26.6875,3.0,1.25,3.2,0.8125,2.6,31.636363636363637,75.0
1.0,0.7142857142857142,0.0,1.0499999999999998,0.75,4.0,0.6219512195121951,24.0625,1.5,0.5625,0.0,0.875,0.0,29.454545454545453,64.0
1.0,0.8571428571428571,1.0,0.0,0.0,4.0,0.8780487804878048,24.5,2.0999999999999996,0.59375,3.2,0.0,0.0,21.454545454545453,56.99999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0625,0.0,0.0,0.0,0.0,0.0,6.181818181818182,24.0
1.0,0.75,1.0,0.0,0.0,4.0,0.0,27.125,3.0,0.5625,3.2,0.0,2.8,26.545454545454547,67.0
1.0,0.5714285714285714,0.0,0.7,0.95,4.0,0.8414634146341464,24.5,2.7,0.8125,3.6,0.0,4.0,25.454545454545453,69.0
1.0,1.4285714285714284,1.0,1.4,0.2,4.0,0.36585365853658536,22.75,3.0,0.8125,3.8,0.0,2.2,19.636363636363637,60.0
1.0,0.3928571428571429,0.0,1.0,0.0,0.0,0.6585365853658537,19.6875,1.7999999999999998,0.4375,0.0,0.375,0.0,29.454545454545453,55.00000000000001
0.0,0.0,1.0,1.0,0.95,4.0,0.8780487804878048,25.375,3.0,0.0,3.2,0.0,3.8,22.90909090909091,66.0
1.0,1.0,1.0,1.0,0.0,3.2,0.7317073170731707,19.6875,3.0,0.78125,0.0,0.0,1.2,23.272727272727273,54.0
1.0,0.9642857142857144,1.0,0.0,0.0,4.0,0.0,24.9375,1.7999999999999998,0.0,0.0,0.0,0.0,0.0,31.0
1.0,0.8928571428571428,1.0,1.0999999999999999,0.95,4.0,0.6585365853658537,28.875,2.7,0.875,3.8,0.0,4.0,33.45454545454545,84.0
1.0,0.0,0.5,1.0,1.0,3.2,0.9512195121951219,28.0,2.0999999999999996,0.4375,2.4,0.6875,4.0,25.454545454545453,72.0
0.0,0.6428571428571428,0.0,0.0,0.0,4.0,0.6219512195121951,18.375,2.4000000000000004,0.3125,0.0,0.0,2.8,18.90909090909091,46.0
