Q1,Q2,A1,Q3,Q4,Midterm,Q5,A2,Q6,Q7,Q8,Final,Total
2.625,2.0892857142857144,1.8,1.1812500000000001,1.225,31.06,2.1,1.88,2.173828125,1.640625,1.7390625,35.67,86.0
2.3625000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2.625,1.0714285714285714,2.0,0.0,0.875,29.31,1.8666666666666667,2.0,1.353515625,1.3125,1.8046875,29.33,74.0
2.3625000000000003,1.2321428571428572,1.9,1.4875,0.525,23.63,1.575,1.96,1.3125,0.0,1.4109375,32.0,70.0
2.5375,1.7678571428571428,1.8,1.8375,0.875,22.75,1.6333333333333333,1.96,1.3125,0.984375,0.91875,27.0,66.0
2.3625000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2.625,2.142857142857143,1.9,1.96875,1.05,21.0,1.225,1.8,0.73828125,1.859375,1.3125,28.67,67.0
1.9249999999999998,1.5535714285714286,1.9,2.31875,1.9249999999999998,21.88,1.3416666666666666,2.0,1.39453125,0.65625,1.0171875000000001,26.33,65.0
2.3625000000000003,1.2321428571428572,1.9,1.9249999999999998,1.575,30.19,1.1666666666666665,1.94,0.90234375,1.09375,0.7546875,32.67,78.0
2.5375,1.6607142857142858,1.9,1.4875,0.525,20.56,1.3416666666666666,1.9,0.90234375,0.546875,1.9359375,29.0,65.0
2.5375,1.5535714285714286,1.9,1.09375,1.225,13.56,0.9916666666666667,2.0,1.3125,0.0,0.8859375,24.67,52.0
2.625,1.9285714285714286,1.9,1.6187500000000001,0.35,23.19,1.4583333333333335,1.94,1.39453125,1.53125,1.575,33.33,73.0
2.625,1.1785714285714286,1.9,1.8375,2.1,22.97,1.8083333333333333,2.0,1.4765625,1.3125,2.0671874999999997,33.67,75.0
2.1,1.0714285714285714,1.9,0.91875,0.35,18.81,1.8083333333333333,1.74,0.65625,0.0,1.2140625,29.33,60.0
2.3625000000000003,2.25,1.9,0.0,0.0,19.25,1.6916666666666669,1.88,0.0,0.765625,0.0,21.33,52.0
0.0,1.5,1.9,2.0125,0.175,22.31,1.575,1.9,1.1484375,0.4375,1.575,23.0,57.99999999999999
2.625,1.7678571428571428,1.8,1.6624999999999999,1.225,24.06,1.8083333333333333,1.86,0.984375,0.765625,0.91875,30.67,71.0
2.5375,1.392857142857143,1.9,2.3625000000000003,0.35,27.56,1.6916666666666669,2.0,1.3125,1.09375,1.8046875,31.33,76.0
2.625,1.7678571428571428,1.8,1.26875,0.525,24.94,1.6916666666666669,1.86,1.1484375,1.640625,1.6734375,27.0,68.0
2.625,1.7678571428571428,1.9,1.79375,1.05,27.56,1.3416666666666666,1.8,1.3125,0.984375,1.44375,25.0,69.0
2.625,1.2589285714285714,1.9,2.2312499999999997,2.1,23.19,1.1666666666666665,1.98,1.3125,0.984375,0.984375,21.0,61.0
2.625,0.8839285714285714,1.8,0.91875,1.05,11.81,1.575,1.96,0.8203125,0.0,1.378125,17.33,43.0
2.45,1.125,1.9,1.9249999999999998,2.1,19.69,1.1666666666666665,1.6,1.4765625,1.203125,1.1156249999999999,22.67,59.0
1.9249999999999998,1.5,0.0,0.0,0.35,20.13,0.0,1.9,0.41015625,0.875,0.65625,25.0,53.0
2.3625000000000003,1.6071428571428572,1.9,2.0125,1.4,21.88,1.9249999999999998,1.84,1.39453125,1.09375,2.3296875,31.0,71.0
2.3625000000000003,1.6607142857142858,0.0,0.0,0.35,20.13,1.2833333333333332,0.0,0.0,0.984375,0.0,16.0,43.0
2.5375,1.392857142857143,1.9,2.1,1.9249999999999998,19.69,1.4,1.94,1.23046875,0.984375,2.165625,23.67,61.0
2.3625000000000003,1.9285714285714286,1.9,2.58125,0.0,23.63,1.9249999999999998,1.9,1.3125,0.0,1.575,26.0,66.0
2.3625000000000003,1.982142857142857,1.9,2.275,0.35,23.63,1.3416666666666666,1.9,1.88671875,0.0,0.0,25.0,63.0
2.5375,1.3125,1.8,1.3562500000000002,0.175,17.5,0.0,1.8,0.861328125,0.65625,0.721875,21.0,50.0
2.625,1.8482142857142858,1.9,2.3625000000000003,0.7,25.81,2.1,1.96,1.845703125,1.3125,2.0671874999999997,33.67,79.0
2.45,1.7142857142857142,0.0,0.0,0.0,23.63,1.6333333333333333,1.84,1.23046875,0.765625,2.1328125,31.0,67.0
2.1875,1.0178571428571428,1.9,1.88125,0.35,23.63,0.0,1.92,1.23046875,0.0,1.378125,30.0,66.0
2.1,1.9285714285714286,1.9,1.575,0.525,21.0,0.0,1.9,0.4921875,1.421875,1.7390625,28.33,63.0
2.3625000000000003,1.7946428571428572,1.9,2.3625000000000003,1.75,26.25,1.8666666666666667,1.98,1.599609375,0.984375,2.3296875,31.0,77.0
2.45,1.5535714285714286,1.9,1.4875,0.7,18.81,1.8083333333333333,1.94,0.90234375,0.0,1.7390625,30.33,64.0
2.45,1.4732142857142856,1.9,1.70625,0.7,24.06,1.75,1.9,0.73828125,0.65625,1.6734375,24.33,64.0
2.45,1.392857142857143,1.9,1.4,0.0,27.13,1.9833333333333334,1.66,0.0,0.65625,1.509375,29.0,70.0
2.5375,1.1517857142857142,1.9,2.1,1.4,29.75,1.8666666666666667,1.96,1.4765625,0.875,2.4609375,33.67,82.0
2.275,1.7410714285714284,1.9,1.225,0.175,22.31,1.575,1.8,1.435546875,1.09375,1.6734375,25.0,63.0
2.45,1.5,1.9,2.14375,1.575,28.44,1.9833333333333334,1.8,1.8046875,1.3125,1.771875,33.67,81.0
2.625,1.7678571428571428,1.9,1.6187500000000001,0.7,17.94,1.4583333333333335,1.88,1.640625,1.203125,1.246875,27.0,61.0
2.45,1.1785714285714286,1.8,1.575,0.0,14.44,1.75,1.92,1.025390625,0.984375,1.6734375,19.0,48.0
2.1875,2.0357142857142856,1.9,2.625,1.575,27.13,2.1,1.98,0.984375,1.75,1.9359375,30.33,77.0
